Rank,Title,Duration (min),Rating,Director,Cast,Release Date,Production Cost,Worldwide Gross,Opening Weekend,MPAA,Genre
0,Avengers: Endgame,181.0,8.4,Anthony Russo,"Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",2019-04-23,400000000,2797800564,357115007.0,PG-13,Action
1,Pirates of the Caribbean: On Stranger Tides,137.0,6.6,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",2011-05-20,379000000,1045713802,90151958.0,PG-13,Adventure
2,Avengers: Age of Ultron,141.0,7.3,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",2015-04-22,365000000,1395316979,191271109.0,PG-13,Action
4,Avengers: Infinity War,149.0,8.4,Anthony Russo,"Joe Russo, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",2018-04-25,300000000,2048359754,257698183.0,PG-13,Action
6,Justice League,120.0,6.1,Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller",2017-11-13,300000000,655945209,93842239.0,PG-13,Action
7,Spectre,148.0,6.8,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",2015-10-06,300000000,879500760,70403148.0,PG-13,Action
10,Solo: A Star Wars Story,135.0,6.9,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",2018-05-23,275000000,393151347,84420489.0,PG-13,Adventure
11,John Carter,132.0,6.6,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Willem Dafoe, Samantha Morton",2012-03-07,263700000,282778100,30180188.0,PG-13,Adventure
12,Batman v Superman: Dawn of Justice,151.0,6.5,Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",2016-03-23,263000000,872395091,166007347.0,PG-13,Action
14,The Lion King,88.0,8.5,Roger Allers,"Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",2019-07-11,260000000,1647778651,191770759.0,PG,Adventure
15,The Lion King,118.0,6.8,Jon Favreau,"Donald Glover, Beyoncé, Seth Rogen, Chiwetel Ejiofor",2019-07-11,260000000,1647778651,191770759.0,PG,Adventure
16,Tangled,100.0,7.7,Nathan Greno,"Byron Howard, Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",2010-11-24,260000000,583777242,48767052.0,PG,Musical
17,Spider-Man 3,139.0,6.3,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",2007-05-04,258000000,894860230,151116516.0,PG-13,Adventure
18,Captain America: Civil War,147.0,7.8,Anthony Russo,"Joe Russo, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",2016-04-22,250000000,1151918521,179139142.0,PG-13,Action
19,Thor: Love and Thunder,118.0,6.2,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson",2022-07-01,250000000,745453552,144165107.0,PG-13,Action
20,Harry Potter and the Half-Blood Prince,153.0,7.6,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",2009-07-15,250000000,929411069,77835727.0,PG,Adventure
21,The Hobbit: The Desolation of Smaug,161.0,7.8,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",2013-12-12,250000000,959358436,73645197.0,PG-13,Adventure
22,The Hobbit: The Battle of the Five Armies,144.0,7.4,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett",2014-12-10,250000000,940389558,54724334.0,PG-13,Adventure
23,The Fate of the Furious,136.0,6.6,F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",2017-04-07,250000000,1236703796,98786705.0,PG-13,Action
24,No Time to Die,163.0,7.3,Cary Joji Fukunaga,"Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux",2021-09-29,250000000,760008036,55225007.0,PG-13,Action
25,Avatar,162.0,7.9,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",2009-12-17,237000000,2910370905,77025481.0,PG-13,Action
26,Superman Returns,154.0,6.1,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",2006-06-28,232000000,391081192,52535096.0,PG-13,Adventure
27,The Dark Knight Rises,164.0,8.4,Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",2012-07-19,230000000,1082228107,160887295.0,PG-13,Action
28,Pirates of the Caribbean: Dead Men Tell No Tales,129.0,6.5,Joachim Rønning,"Espen Sandberg, Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom",2017-05-23,230000000,794861794,62983253.0,PG-13,Adventure
29,Quantum of Solace,106.0,6.5,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",2008-11-14,230000000,591692078,67528882.0,PG-13,Action
30,The Avengers,143.0,8.0,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",2012-04-25,225000000,1515100211,207438708.0,PG-13,Action
31,The Avengers,89.0,3.8,Jeremiah S. Chechik,"Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee",2012-04-25,225000000,1515100211,207438708.0,PG-13,Action
33,Man of Steel,143.0,7.1,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",2013-06-14,225000000,667999518,116619362.0,PG-13,Action
34,The Chronicles of Narnia: Prince Caspian,150.0,6.5,Andrew Adamson,"Ben Barnes, Skandar Keynes, Georgie Henley, William Moseley",2008-05-16,225000000,417341288,55034805.0,PG,Adventure
35,The Lone Ranger,150.0,6.4,Gore Verbinski,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",2013-07-02,225000000,260002115,29210849.0,PG-13,Western
36,The Amazing Spider-Man,136.0,6.9,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",2012-06-27,220000000,757890267,62004688.0,PG-13,Adventure
37,Battleship,131.0,5.8,Peter Berg,"Alexander Skarsgård, Brooklyn Decker, Liam Neeson, Rihanna",2012-04-11,220000000,313477717,25534825.0,PG-13,Action
38,Transformers: The Last Knight,154.0,5.2,Michael Bay,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",2017-06-20,217000000,602893340,44680073.0,PG-13,Action
39,Jurassic World,124.0,6.9,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer",2015-06-09,215000000,1669979967,208806270.0,PG-13,Action
41,Transformers: Revenge of the Fallen,149.0,6.0,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2009-06-24,210000000,836519699,108966307.0,PG-13,Action
42,Transformers: Age of Extinction,165.0,5.6,Michael Bay,"Mark Wahlberg, Nicola Peltz Beckham, Jack Reynor, Stanley Tucci",2014-06-25,210000000,1104054072,100038390.0,PG-13,Action
43,X-Men: The Last Stand,104.0,6.6,Brett Ratner,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",2006-05-26,210000000,459260946,102750665.0,PG-13,Action
44,Robin Hood,140.0,6.6,Ridley Scott,"Russell Crowe, Cate Blanchett, Matthew Macfadyen, Max von Sydow",2010-05-14,210000000,322459006,36063385.0,PG-13,Action
45,Robin Hood,116.0,5.3,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",2010-05-14,210000000,322459006,36063385.0,PG-13,Action
46,Robin Hood,83.0,7.5,Wolfgang Reitherman,"David Hand, Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov",2010-05-14,210000000,322459006,36063385.0,PG-13,Action
47,King Kong,187.0,7.2,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",2005-12-14,207000000,550517357,50130145.0,PG-13,Adventure
48,King Kong,134.0,6.0,John Guillermin,"Jeff Bridges, Charles Grodin, Jessica Lange, John Randolph",2005-12-14,207000000,550517357,50130145.0,PG-13,Adventure
49,King Kong,100.0,7.9,Merian C. Cooper,"Ernest B. Schoedsack, Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher",2005-12-14,207000000,550517357,50130145.0,PG-13,Adventure
50,The Golden Compass,113.0,6.1,Chris Weitz,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker",2007-12-07,205000000,367262558,25783232.0,PG-13,Adventure
51,Tenet,150.0,7.3,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Juhan Ulfsak",2020-08-26,205000000,362450957,20001852.0,PG-13,Action
52,Spider-Man: No Way Home,148.0,8.2,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon",2021-12-14,200000000,1912775610,260138569.0,PG-13,Action
53,Black Panther,134.0,7.3,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",2018-02-13,200000000,1336494321,202003951.0,PG-13,Action
54,Titanic,194.0,7.9,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",1997-12-18,200000000,2207986545,28638131.0,PG-13,Drama
55,Incredibles 2,118.0,7.5,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",2018-06-15,200000000,1242805359,182687905.0,PG,Adventure
57,Finding Dory,97.0,7.2,Andrew Stanton,"Angus MacLane, Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson",2016-06-16,200000000,1025006125,135060273.0,PG,Adventure
58,Toy Story 4,100.0,7.7,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale",2019-06-20,200000000,1073080329,120908065.0,G,Adventure
59,Toy Story 3,103.0,8.3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",2010-06-18,200000000,1068879522,110307189.0,G,Adventure
60,Doctor Strange in the Multiverse of Madness,126.0,6.9,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong",2022-05-04,200000000,952224986,187420998.0,PG-13,Action
63,Spider-Man 2,127.0,7.5,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco",2004-06-30,200000000,794697557,88156227.0,PG-13,Adventure
64,The Batman,176.0,7.8,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell",2022-03-01,200000000,767820302,134008624.0,PG-13,Action
65,Alice in Wonderland,108.0,6.4,Tim Burton,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",2010-03-04,200000000,1025491110,116101023.0,PG,Adventure
66,Alice in Wonderland,75.0,7.3,Clyde Geronimi,"Wilfred Jackson, Hamilton Luske, Jack Kinney, Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway",2010-03-04,200000000,1025491110,116101023.0,PG,Adventure
67,Skyfall,143.0,7.8,Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",2012-10-26,200000000,1110526981,88364714.0,PG-13,Action
68,The Hobbit: An Unexpected Journey,169.0,7.8,Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis",2012-12-11,200000000,1014938545,84617303.0,PG-13,Adventure
69,Monsters University,104.0,7.2,Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",2013-06-21,200000000,743455810,82429469.0,G,Adventure
70,Oz the Great and Powerful,130.0,6.3,Sam Raimi,"James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",2013-03-08,200000000,490359051,79110453.0,PG,Adventure
71,X-Men: Days of Future Past,132.0,7.9,Bryan Singer,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",2014-05-21,200000000,747862775,90823660.0,PG-13,Action
72,The Amazing Spider-Man 2,142.0,6.6,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",2014-04-16,200000000,708996336,91608337.0,PG-13,Action
73,Cars 2,106.0,6.2,John Lasseter,"Bradford Lewis, Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer",2011-06-23,200000000,560155383,66135507.0,G,Adventure
74,Black Widow,134.0,6.7,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz",2021-07-07,200000000,379751655,80366312.0,PG-13,Action
75,Fast & Furious Presents: Hobbs & Shaw,137.0,6.5,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby",2019-07-31,200000000,760381706,60038950.0,PG-13,Action
77,Tron: Legacy,125.0,6.8,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",2010-12-17,200000000,399866199,44026211.0,PG,Adventure
78,2012,158.0,5.8,Roland Emmerich,"John Cusack, Thandiwe Newton, Chiwetel Ejiofor, Amanda Peet",2009-11-12,200000000,757677748,65237614.0,PG-13,Action
79,Eternals,156.0,6.3,Chloé Zhao,"Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek",2021-11-03,200000000,402064929,71297219.0,PG-13,Action
80,Fantastic Beasts: The Crimes of Grindelwald,134.0,6.5,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp",2018-11-14,200000000,648455339,62163104.0,PG-13,Adventure
81,Terminator Salvation,115.0,6.5,McG,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",2009-05-21,200000000,365491792,42558390.0,PG-13,Action
82,Lightyear,105.0,6.1,Angus MacLane,"Chris Evans, Keke Palmer, Peter Sohn, Taika Waititi",2022-06-15,200000000,218571346,50577961.0,PG,Adventure
83,Jungle Cruise,127.0,6.6,Jaume Collet-Serra,"Dwayne Johnson, Emily Blunt, Edgar Ramírez, Jack Whitehall",2021-07-28,200000000,210384144,35018731.0,PG-13,Adventure
84,Green Lantern,114.0,5.5,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",2011-06-17,200000000,219535492,53174303.0,PG-13,Action
85,Fantastic Beasts: The Secrets of Dumbledore,142.0,6.2,David Yates,"Eddie Redmayne, Jude Law, Ezra Miller, Dan Fogler",2022-04-06,200000000,404560146,42151256.0,PG-13,Adventure
88,Onward,102.0,7.4,Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer",2020-02-28,200000000,133317030,39119861.0,PG,Adventure
89,Wonder Woman 1984,151.0,5.4,Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",2020-12-16,200000000,166360232,16701957.0,PG-13,Action
94,Transformers: Dark of the Moon,154.0,6.2,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",2011-06-29,195000000,1123794079,97852865.0,PG-13,Action
95,The Mummy,124.0,7.1,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",2017-06-02,195000000,409953905,31668375.0,PG-13,Adventure
96,The Mummy,110.0,5.4,Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe",2017-06-02,195000000,409953905,31668375.0,PG-13,Adventure
97,The Mummy,73.0,7.0,Karl Freund,"Boris Karloff, Zita Johann, David Manners, Arthur Byron",2017-06-02,195000000,409953905,31668375.0,PG-13,Adventure
98,The Mummy,86.0,6.6,Terence Fisher,"Peter Cushing, Christopher Lee, Yvonne Furneaux, Eddie Byrne",2017-06-02,195000000,409953905,31668375.0,PG-13,Adventure
99,Jack the Giant Slayer,114.0,6.3,Bryan Singer,"Nicholas Hoult, Stanley Tucci, Ewan McGregor, Bill Nighy",2013-02-27,195000000,197687603,27202226.0,PG-13,Adventure
101,Star Trek Into Darkness,132.0,7.7,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",2013-05-16,190000000,467381584,70165559.0,PG-13,Adventure
102,World War Z,116.0,7.0,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",2013-06-19,190000000,531861650,66411834.0,PG-13,Action
103,The Great Gatsby,143.0,7.2,Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire",2013-05-10,190000000,353640419,50085184.0,PG-13,Drama
104,The Great Gatsby,144.0,6.4,Jack Clayton,"Robert Redford, Mia Farrow, Bruce Dern, Karen Black",2013-05-10,190000000,353640419,50085184.0,PG-13,Drama
106,Pacific Rim,131.0,6.9,Guillermo del Toro,"Idris Elba, Charlie Hunnam, Rinko Kikuchi, Charlie Day",2013-07-11,190000000,411002906,37285325.0,PG-13,Action
107,The Matrix Resurrections,148.0,5.7,Lana Wachowski,"Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II, Jonathan Groff",2021-12-16,190000000,156467817,10749011.0,R,Action
108,The Good Dinosaur,93.0,6.7,Peter Sohn,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",2015-11-25,187500000,333771037,39155217.0,PG,Adventure
109,Iron Man,126.0,7.9,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges",2008-05-02,186000000,585171547,102118668.0,PG-13,Adventure
110,The Dark Knight,152.0,9.0,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",2008-07-11,185000000,998615789,158411483.0,PG-13,Action
111,Indiana Jones and the Kingdom of the Crystal Skull,122.0,6.2,Steven Spielberg,"Harrison Ford, Cate Blanchett, Shia LaBeouf, Karen Allen",2008-05-22,185000000,786635413,100137835.0,PG-13,Adventure
112,Brave,93.0,7.1,Mark Andrews,"Brenda Chapman, Steve Purcell, Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",2012-06-21,185000000,554606532,66323594.0,PG,Adventure
113,Kong: Skull Island,118.0,6.7,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",2017-02-23,185000000,561072059,61025472.0,PG-13,Adventure
114,Star Trek Beyond,122.0,7.0,Justin Lin,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",2016-07-21,185000000,335673708,59253211.0,PG-13,Adventure
115,Maleficent: Mistress of Evil,119.0,6.6,Joachim Rønning,"Angelina Jolie, Elle Fanning, Harris Dickinson, Michelle Pfeiffer",2019-10-17,185000000,489346495,36948713.0,PG,Adventure
116,Blade Runner 2049,164.0,8.0,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista",2017-09-29,185000000,258829058,32753122.0,R,Thriller/Suspense
117,Terminator: Dark Fate,128.0,6.2,Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes",2019-10-25,185000000,250372367,29033832.0,R,Action
118,The Suicide Squad,132.0,7.2,James Gunn,"Margot Robbie, Idris Elba, John Cena, Joel Kinnaman",2021-07-28,185000000,167120232,26205415.0,R,Action
119,Aladdin,128.0,6.9,Guy Ritchie,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari",2019-05-22,182000000,1046649706,91500929.0,PG,Adventure
120,Aladdin,90.0,8.0,Ron Clements,"John Musker, Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",2019-05-22,182000000,1046649706,91500929.0,PG,Adventure
121,Thor: Ragnarok,130.0,7.9,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",2017-10-25,180000000,850482778,122744989.0,PG-13,Action
123,Maleficent,97.0,6.9,Robert Stromberg,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",2014-05-28,180000000,758536735,69431298.0,PG,Adventure
124,Fantastic Beasts and Where to Find Them,132.0,7.2,David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler",2016-11-14,180000000,811724385,74403387.0,PG-13,Adventure
126,Rush Hour 3,91.0,6.2,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow, Hiroyuki Sanada",2007-08-10,180000000,256585882,49100158.0,PG-13,Action
127,The Legend of Tarzan,110.0,6.2,David Yates,"Alexander Skarsgård, Rory J Saper, Christian Stevens, Christoph Waltz",2016-06-27,180000000,348902025,38527856.0,PG-13,Adventure
128,Hugo,126.0,7.5,Martin Scorsese,"Asa Butterfield, Chloë Grace Moretz, Christopher Lee, Ben Kingsley",2011-11-23,180000000,180047784,11364505.0,PG,Adventure
129,Valerian and the City of a Thousand Planets,136.0,6.4,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",2017-07-20,180000000,215098356,17007624.0,PG-13,Adventure
130,Jupiter Ascending,127.0,5.3,Lana Wachowski,"Lilly Wachowski, Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean",2015-02-06,179000000,181982519,18372372.0,PG-13,Action
132,X-Men: Apocalypse,144.0,6.9,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2016-05-18,178000000,542537546,65769562.0,PG-13,Action
133,The Meg,113.0,5.7,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",2018-08-09,178000000,527370715,45402195.0,PG-13,Action
134,Edge of Tomorrow,113.0,7.9,Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",2014-05-28,178000000,367028980,28760246.0,PG-13,Action
135,Captain Marvel,123.0,6.8,Anna Boden,"Ryan Fleck, Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",2019-03-06,175000000,1129727388,153433423.0,PG-13,Action
136,The Jungle Book,106.0,7.4,Jon Favreau,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",2016-04-07,175000000,953554418,103261464.0,PG,Adventure
137,The Jungle Book,78.0,7.6,Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman",2016-04-07,175000000,953554418,103261464.0,PG,Adventure
138,The Jungle Book,111.0,6.0,Stephen Sommers,"Jason Scott Lee, Cary Elwes, Lena Headey, Sam Neill",2016-04-07,175000000,953554418,103261464.0,PG,Adventure
